"","trait_genetic_start","trait_genetic_end","trait","gene_ID","eQTL_chr","eQTL_genetic_start","eQTL_genetic_end","subject","AGI","At_symbol","trait_chrom","gene.chrom","gene.start","gene.end","B.napus_GO_term","GO_des"
"2120",43,112,"lobe_number_2016_01_21","BnaA08g24600D","chrC06",111,111,"AT1G12780.1","AT1G12780"," UDP-D-glucose/UDP-D-galactose 4-epimerase 1 ","chrC06","A08",17150257,17152482,"GO:0000166;GO:0003824;GO:0003978;GO:0005975;GO:0006012;GO:0044237;GO:0050662","nucleotide binding;catalytic activity;UDP-glucose 4-epimerase activity;carbohydrate metabolic process;galactose metabolic process;cellular metabolic process;coenzyme binding"
"2121",43,112,"lobe_number_2016_01_21","BnaA08g27310D","chrC06",69,69,"AT1G02970.1","AT1G02970"," WEE1 kinase homolog ","chrC06","A08",18249641,18254654,"GO:0004672;GO:0004674;GO:0004713;GO:0005524;GO:0006468","protein kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity;ATP binding;protein phosphorylation"
"2122",43,112,"lobe_number_2016_01_21","BnaA08g27400D","chrC06",108,108,"AT1G03220.1","AT1G03220"," Eukaryotic aspartyl protease family protein ","chrC06","A08",18281954,18283453,"GO:0004190;GO:0006508","aspartic-type endopeptidase activity;proteolysis"
"2123",43,112,"lobe_number_2016_01_21","BnaA08g29200D","chrC06",43,43,NA,NA,NA,"chrC06","A08_random",56596,58867,"GO:0006629;GO:0016787","lipid metabolic process;hydrolase activity"
"2124",43,112,"lobe_number_2016_01_21","BnaA09g25180D","chrC06",68,68,NA,NA,NA,"chrC06","A09",18150418,18151134,"GO:0005515","protein binding"
"2125",43,112,"lobe_number_2016_01_21","BnaA09g30090D","chrC06",68,68,NA,NA,NA,"chrC06","A09",22414870,22416034,"GO:0006952;GO:0009607","defense response;response to biotic stimulus"
"2126",43,112,"lobe_number_2016_01_21","BnaA09g36340D","chrC06",71,71,"AT3G56990.1","AT3G56990"," embryo sac development arrest 7 ","chrC06","A09",26324533,26328730,"GO:0005515;GO:0005634","protein binding;nucleus"
"2127",43,112,"lobe_number_2016_01_21","BnaA09g36610D","chrC06",65,65,"AT3G57260.1","AT3G57260"," beta-1,3-glucanase 2 ","chrC06","A09",26435653,26436907,"GO:0003824;GO:0005975","catalytic activity;carbohydrate metabolic process"
"2128",43,112,"lobe_number_2016_01_21","BnaA09g39740D","chrC06",64,64,NA,NA,NA,"chrC06","A09",28113040,28114196,NA,NA
"2129",43,112,"lobe_number_2016_01_21","BnaA09g39770D","chrC06",71,71,"AT3G62260.2","AT3G62260"," Protein phosphatase 2C family protein ","chrC06","A09",28119633,28121771,"GO:0003824;GO:0004722;GO:0006470","catalytic activity;protein serine/threonine phosphatase activity;protein dephosphorylation"
"2130",43,112,"lobe_number_2016_01_21","BnaA09g39870D","chrC06",63,63,"AT3G62420.1","AT3G62420"," basic region/leucine zipper motif 53 ","chrC06","A09",28153567,28153992,"GO:0003700;GO:0043565","transcription factor activity, sequence-specific DNA binding;sequence-specific DNA binding"
"2131",43,112,"lobe_number_2016_01_21","BnaA09g40470D","chrC06",71,71,"AT2G26460.1","AT2G26460"," RED family protein ","chrC06","A09",28467453,28470975,"GO:0005634","nucleus"
"2132",43,112,"lobe_number_2016_01_21","BnaA09g41410D","chrC06",71,71,"AT2G24420.1","AT2G24420"," DNA repair ATPase-related ","chrC06","A09",28934549,28937195,NA,NA
"2133",43,112,"lobe_number_2016_01_21","BnaA09g41880D","chrC06",53,53,"AT2G23740.2","AT2G23740"," nucleic acid binding;sequence-specific DNA binding transcription factors;zinc ion binding ","chrC06","A09",29184943,29188659,"GO:0005515","protein binding"
"2134",43,112,"lobe_number_2016_01_21","BnaA09g51360D","chrC06",84,84,"AT1G70770.1","AT1G70770"," Protein of unknown function DUF2359, transmembrane ","chrC06","A09",33760717,33763055,NA,NA
"2135",43,112,"lobe_number_2016_01_21","BnaA09g51760D","chrC06",68,68,"AT4G00755.1","AT4G00755"," F-box family protein ","chrC06","A09_random",80032,81635,"GO:0005515","protein binding"
"2136",43,112,"lobe_number_2016_01_21","BnaA09g52500D","chrC06",48,48,"AT5G65410.1","AT5G65410"," homeobox protein 25 ","chrC06","A09_random",470994,471849,"GO:0003677","DNA binding"
"2137",43,112,"lobe_number_2016_01_21","BnaA10g06350D","chrC06",82,82,"AT5G52920.1","AT5G52920"," plastidic pyruvate kinase beta subunit 1 ","chrC06","A10",4845299,4846356,"GO:0000287;GO:0004743;GO:0006096;GO:0030955","magnesium ion binding;pyruvate kinase activity;glycolytic process;potassium ion binding"
"2138",43,112,"lobe_number_2016_01_21","BnaA10g10580D","chrC06",83,83,"AT5G56340.1","AT5G56340"," RING/U-box superfamily protein ","chrC06","A10",9009956,9011787,"GO:0005515;GO:0008270","protein binding;zinc ion binding"
"2139",43,112,"lobe_number_2016_01_21","BnaA10g19710D","chrC06",49,49,NA,NA,NA,"chrC06","A10",13905057,13906245,NA,NA
"2140",43,112,"lobe_number_2016_01_21","BnaA10g19960D","chrC06",58,58,"AT5G13330.1","AT5G13330"," related to AP2 6l ","chrC06","A10",14027377,14030426,"GO:0003677;GO:0003700","DNA binding;transcription factor activity, sequence-specific DNA binding"
"2141",43,112,"lobe_number_2016_01_21","BnaAnng04540D","chrC06",65,65,"AT1G35710.1","AT1G35710"," Protein kinase family protein with leucine-rich repeat domain ","chrC06","Ann_random",5241236,5244257,"GO:0004672;GO:0004713;GO:0005515;GO:0005524;GO:0006468","protein kinase activity;protein tyrosine kinase activity;protein binding;ATP binding;protein phosphorylation"
"2142",43,112,"lobe_number_2016_01_21","BnaAnng13440D","chrC06",95,95,"AT4G16730.1","AT4G16730"," terpene synthase 02 ","chrC06","Ann_random",14382009,14384436,"GO:0000287;GO:0008152;GO:0010333;GO:0016829","magnesium ion binding;metabolic process;terpene synthase activity;lyase activity"
"2143",43,112,"lobe_number_2016_01_21","BnaAnng17350D","chrC06",50,50,"AT5G58710.1","AT5G58710"," rotamase CYP 7 ","chrC06","Ann_random",18428803,18430321,"GO:0003755;GO:0006457","peptidyl-prolyl cis-trans isomerase activity;protein folding"
"2144",43,112,"lobe_number_2016_01_21","BnaAnng19580D","chrC06",68,68,"AT1G05340.1","AT1G05340"," unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 14 plant structures; EXPRESSED DURING: 7 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G32210.1); Has 189 Blast hits to 189 proteins in 27 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 21; Plants - 168; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). ","chrC06","Ann_random",21178167,21179016,NA,NA
"2145",43,112,"lobe_number_2016_01_21","BnaAnng25950D","chrC06",86,86,"AT1G10760.1","AT1G10760"," Pyruvate phosphate dikinase, PEP/pyruvate binding domain ","chrC06","Ann_random",29954344,29955633,"GO:0003824;GO:0005524;GO:0016301;GO:0016310","catalytic activity;ATP binding;kinase activity;phosphorylation"
"2146",43,112,"lobe_number_2016_01_21","BnaAnng25960D","chrC06",84,84,NA,NA,NA,"chrC06","Ann_random",29955699,29956536,NA,NA
"2147",43,112,"lobe_number_2016_01_21","BnaAnng26940D","chrC06",51,51,"AT1G48760.1","AT1G48760"," delta-adaptin ","chrC06","Ann_random",30893629,30896181,"GO:0005488;GO:0005794;GO:0006886;GO:0008565;GO:0015031;GO:0016192;GO:0030117","binding;Golgi apparatus;intracellular protein transport;protein transporter activity;protein transport;vesicle-mediated transport;membrane coat"
"2148",43,112,"lobe_number_2016_01_21","BnaAnng34420D","chrC06",48,48,"AT3G10500.1","AT3G10500"," NAC domain containing protein 53 ","chrC06","Ann_random",39193386,39194060,"GO:0003677","DNA binding"
"2149",43,112,"lobe_number_2016_01_21","BnaAnng37080D","chrC06",67,67,"AT5G62210.1","AT5G62210"," Embryo-specific protein 3, (ATS3) ","chrC06","Ann_random",42025654,42027183,"GO:0005515","protein binding"
"2150",43,112,"lobe_number_2016_01_21","BnaAnng39330D","chrC06",93,93,"AT2G16750.1","AT2G16750"," Protein kinase protein with adenine nucleotide alpha hydrolases-like domain ","chrC06","Ann_random",44766510,44768000,"GO:0004672;GO:0004674;GO:0004713;GO:0005524;GO:0006468","protein kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity;ATP binding;protein phosphorylation"
"2151",43,112,"lobe_number_2016_01_21","BnaC01g01000D","chrC06",84,84,"AT4G38050.1","AT4G38050"," Xanthine/uracil permease family protein ","chrC06","C01",412510,415610,"GO:0005215;GO:0006810;GO:0016020;GO:0055085","transporter activity;transport;membrane;transmembrane transport"
"2152",43,112,"lobe_number_2016_01_21","BnaC01g01500D","chrC06",71,71,"AT4G37430.1","AT4G37430"," cytochrome P450, family 91, subfamily A, polypeptide 2 ","chrC06","C01",716755,718924,"GO:0005506;GO:0009055;GO:0020037;GO:0055114","iron ion binding;electron carrier activity;heme binding;oxidation-reduction process"
"2153",43,112,"lobe_number_2016_01_21","BnaC01g02530D","chrC06",95,95,"AT4G36120.1","AT4G36120"," Plant protein of unknown function (DUF869) ","chrC06","C01",1321464,1325783,NA,NA
"2154",43,112,"lobe_number_2016_01_21","BnaC01g03400D","chrC06",62,62,"AT4G35110.3","AT4G35110"," Arabidopsis phospholipase-like protein (PEARLI 4) family ","chrC06","C01",1756129,1758578,NA,NA
"2155",43,112,"lobe_number_2016_01_21","BnaC01g04250D","chrC06",71,71,"AT4G34131.1","AT4G34131"," UDP-glucosyl transferase 73B3 ","chrC06","C01",2230184,2231635,"GO:0008152","metabolic process"
"2156",43,112,"lobe_number_2016_01_21","BnaC01g11560D","chrC06",95,95,"AT4G19180.1","AT4G19180"," GDA1/CD39 nucleoside phosphatase family protein ","chrC06","C01",7257507,7259623,"GO:0016787","hydrolase activity"
"2157",43,112,"lobe_number_2016_01_21","BnaC01g19700D","chrC06",107,107,"AT4G16510.1","AT4G16510"," YbaK/aminoacyl-tRNA synthetase-associated domain ","chrC06","C01",13707714,13714169,NA,NA
"2158",43,112,"lobe_number_2016_01_21","BnaC01g25960D","chrC06",86,86,"AT3G49200.1","AT3G49200"," O-acyltransferase (WSD1-like) family protein ","chrC06","C01",22311480,22314803,"GO:0004144;GO:0045017","diacylglycerol O-acyltransferase activity;glycerolipid biosynthetic process"
"2159",43,112,"lobe_number_2016_01_21","BnaC01g27220D","chrC06",92,92,NA,NA,NA,"chrC06","C01",24560095,24560966,NA,NA
"2160",43,112,"lobe_number_2016_01_21","BnaC01g31760D","chrC06",108,108,"AT1G19790.1","AT1G19790"," SHI-related sequence 7 ","chrC06","C01",30654902,30658530,"GO:0005089","Rho guanyl-nucleotide exchange factor activity"
"2161",43,112,"lobe_number_2016_01_21","BnaC01g37020D","chrC06",53,53,"AT3G14310.1","AT3G14310"," pectin methylesterase 3 ","chrC06","C01",36180539,36184246,"GO:0004857;GO:0005618;GO:0030599;GO:0042545","enzyme inhibitor activity;cell wall;pectinesterase activity;cell wall modification"
"2162",43,112,"lobe_number_2016_01_21","BnaC01g40250D","chrC06",71,71,"AT3G04070.1","AT3G04070"," NAC domain containing protein 47 ","chrC06","C01",38577535,38579275,"GO:0003677","DNA binding"
"2163",43,112,"lobe_number_2016_01_21","BnaC02g01590D","chrC06",85,85,NA,NA,NA,"chrC06","C02",644032,644247,NA,NA
"2164",43,112,"lobe_number_2016_01_21","BnaC02g05570D","chrC06",84,84,NA,NA,NA,"chrC06","C02",2902658,2903480,NA,NA
"2165",43,112,"lobe_number_2016_01_21","BnaC02g15310D","chrC06",91,91,NA,NA,NA,"chrC06","C02",10834615,10834731,NA,NA
"2166",43,112,"lobe_number_2016_01_21","BnaC02g28930D","chrC06",107,107,NA,NA,NA,"chrC06","C02",28352456,28353699,NA,NA
"2167",43,112,"lobe_number_2016_01_21","BnaC02g34180D","chrC06",78,78,NA,NA,NA,"chrC06","C02",36553437,36554530,NA,NA
"2168",43,112,"lobe_number_2016_01_21","BnaC02g39600D","chrC06",68,68,"AT5G27150.1","AT5G27150"," Na+/H+ exchanger 1 ","chrC06","C02",42487741,42491987,"GO:0006812;GO:0006814;GO:0006885;GO:0015299;GO:0015385;GO:0016021;GO:0055085","cation transport;sodium ion transport;regulation of pH;solute:proton antiporter activity;sodium:proton antiporter activity;integral component of membrane;transmembrane transport"
"2169",43,112,"lobe_number_2016_01_21","BnaC03g17870D","chrC06",84,84,"AT2G32000.1","AT2G32000"," DNA topoisomerase, type IA, core ","chrC06","C03",9131495,9134900,"GO:0003677;GO:0003916;GO:0003917;GO:0005694;GO:0006265","DNA binding;DNA topoisomerase activity;DNA topoisomerase type I activity;chromosome;DNA topological change"
"2170",43,112,"lobe_number_2016_01_21","BnaC03g18740D","chrC06",65,65,"AT2G33630.1","AT2G33630"," NAD(P)-binding Rossmann-fold superfamily protein ","chrC06","C03",9605197,9607190,"GO:0000166;GO:0003854;GO:0006694;GO:0055114","nucleotide binding;3-beta-hydroxy-delta5-steroid dehydrogenase activity;steroid biosynthetic process;oxidation-reduction process"
"2171",43,112,"lobe_number_2016_01_21","BnaC03g25380D","chrC06",53,53,NA,NA,NA,"chrC06","C03",14266040,14268097,NA,NA
"2172",43,112,"lobe_number_2016_01_21","BnaC03g26810D","chrC06",49,49,"AT2G24255.1","AT2G24255"," unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF295 (InterPro:IPR005174); BEST Arabidopsis thaliana protein match is: Protein of unknown function (DUF295) (TAIR:AT1G64840.1); Has 124 Blast hits to 121 proteins in 7 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 124; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). ","chrC06","C03",15350479,15352031,NA,NA
"2173",43,112,"lobe_number_2016_01_21","BnaC03g26870D","chrC06",48,48,"AT2G25290.1","AT2G25290"," Octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein ","chrC06","C03",15392864,15395183,"GO:0005515","protein binding"
"2174",43,112,"lobe_number_2016_01_21","BnaC03g41510D","chrC06",72,72,"AT3G20300.1","AT3G20300"," Protein of unknown function (DUF3537) ","chrC06","C03",26450367,26452828,NA,NA
"2175",43,112,"lobe_number_2016_01_21","BnaC03g47340D","chrC06",68,68,"AT2G16990.1","AT2G16990"," Major facilitator superfamily protein ","chrC06","C03",32326853,32329450,"GO:0016021;GO:0055085","integral component of membrane;transmembrane transport"
"2176",43,112,"lobe_number_2016_01_21","BnaC03g48510D","chrC06",53,53,NA,NA,NA,"chrC06","C03",33500301,33501367,"GO:0005515","protein binding"
"2177",43,112,"lobe_number_2016_01_21","BnaC03g63270D","chrC06",87,87,NA,NA,NA,"chrC06","C03",52653029,52655288,NA,NA
"2178",43,112,"lobe_number_2016_01_21","BnaC03g73200D","chrC06",85,85,"AT4G02380.1","AT4G02380"," senescence-associated gene 21 ","chrC06","C03_random",1368770,1369504,"GO:0006950","response to stress"
"2179",43,112,"lobe_number_2016_01_21","BnaC03g75060D","chrC06",64,64,NA,NA,NA,"chrC06","C03_random",3298143,3299045,NA,NA
"2180",43,112,"lobe_number_2016_01_21","BnaC03g77400D","chrC06",53,53,"AT4G31040.1","AT4G31040"," CemA-like proton extrusion protein-related ","chrC06","C03_random",5909878,5911455,NA,NA
"2181",43,112,"lobe_number_2016_01_21","BnaC04g06480D","chrC06",79,79,"AT2G38940.1","AT2G38940"," phosphate transporter 1;4 ","chrC06","C04",4695993,4698488,"GO:0016021;GO:0022857;GO:0055085","integral component of membrane;transmembrane transporter activity;transmembrane transport"
"2182",43,112,"lobe_number_2016_01_21","BnaC04g11650D","chrC06",86,86,"AT2G33050.1","AT2G33050"," receptor like protein 26 ","chrC06","C04",9126856,9129261,"GO:0005515","protein binding"
"2183",43,112,"lobe_number_2016_01_21","BnaC04g21540D","chrC06",54,54,NA,NA,NA,"chrC06","C04",22392215,22395183,"GO:0005777","peroxisome"
"2184",43,112,"lobe_number_2016_01_21","BnaC04g24410D","chrC06",110,110,NA,NA,NA,"chrC06","C04",25368207,25370233,NA,NA
"2185",43,112,"lobe_number_2016_01_21","BnaC04g25150D","chrC06",95,95,"AT3G56080.1","AT3G56080"," S-adenosyl-L-methionine-dependent methyltransferases superfamily protein ","chrC06","C04",26082207,26084863,"GO:0008168","methyltransferase activity"
"2186",43,112,"lobe_number_2016_01_21","BnaC05g07520D","chrC06",70,70,"AT1G10170.1","AT1G10170"," NF-X-like 1 ","chrC06","C05",3794040,3797684,"GO:0003700;GO:0005515;GO:0005634;GO:0008270","transcription factor activity, sequence-specific DNA binding;protein binding;nucleus;zinc ion binding"
"2187",43,112,"lobe_number_2016_01_21","BnaC05g08040D","chrC06",96,96,"AT5G18700.1","AT5G18700"," Protein kinase family protein with ARM repeat domain ","chrC06","C05",4117121,4119583,"GO:0004672;GO:0004674;GO:0004713;GO:0005524;GO:0006468","protein kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity;ATP binding;protein phosphorylation"
"2188",43,112,"lobe_number_2016_01_21","BnaC05g10260D","chrC06",107,107,"AT1G14020.1","AT1G14020"," O-fucosyltransferase family protein ","chrC06","C05",5781741,5784222,NA,NA
"2189",43,112,"lobe_number_2016_01_21","BnaC05g15750D","chrC06",107,107,"AT1G20410.1","AT1G20410"," Pseudouridine synthase family protein ","chrC06","C05",9601374,9604689,"GO:0001522;GO:0003723;GO:0009451;GO:0009982","pseudouridine synthesis;RNA binding;RNA modification;pseudouridine synthase activity"
"2190",43,112,"lobe_number_2016_01_21","BnaC05g34670D","chrC06",95,95,"AT3G18520.2","AT3G18520"," histone deacetylase 15 ","chrC06","C05",34012969,34016925,"GO:0005622;GO:0008270","intracellular;zinc ion binding"
"2191",43,112,"lobe_number_2016_01_21","BnaC06g00240D","chrC06",69,69,"AT1G47230.2","AT1G47230"," CYCLIN A3;4 ","chrC06","C06",367499,369297,"GO:0000079;GO:0005634;GO:0019901;GO:0051726","regulation of cyclin-dependent protein serine/threonine kinase activity;nucleus;protein kinase binding;regulation of cell cycle"
"2192",43,112,"lobe_number_2016_01_21","BnaC06g31410D","chrC06",97,97,NA,NA,NA,"chrC06","C06",31994116,31994721,NA,NA
"2193",43,112,"lobe_number_2016_01_21","BnaC06g33880D","chrC06",49,49,NA,NA,NA,"chrC06","C06",33590659,33592495,"GO:0000786;GO:0003677;GO:0003682;GO:0005634;GO:0006334","nucleosome;DNA binding;chromatin binding;nucleus;nucleosome assembly"
"2194",43,112,"lobe_number_2016_01_21","BnaC06g35540D","chrC06",108,108,"AT1G74710.2","AT1G74710"," ADC synthase superfamily protein ","chrC06","C06",34494113,34498621,"GO:0008909;GO:0009058","isochorismate synthase activity;biosynthetic process"
"2195",43,112,"lobe_number_2016_01_21","BnaC06g42820D","chrC06",53,53,"AT3G60250.1","AT3G60250"," casein kinase II  beta chain 3 ","chrC06","C06_random",2377360,2378961,"GO:0005956;GO:0019887","protein kinase CK2 complex;protein kinase regulator activity"
"2196",43,112,"lobe_number_2016_01_21","BnaC06g42860D","chrC06",49,49,"AT3G61620.1","AT3G61620"," 3'-5'-exoribonuclease family protein ","chrC06","C06_random",2402683,2404587,NA,NA
"2197",43,112,"lobe_number_2016_01_21","BnaC06g42870D","chrC06",49,49,"AT3G61610.1","AT3G61610"," Galactose mutarotase-like superfamily protein ","chrC06","C06_random",2404647,2406480,"GO:0003824;GO:0005975;GO:0016853;GO:0030246","catalytic activity;carbohydrate metabolic process;isomerase activity;carbohydrate binding"
"2198",43,112,"lobe_number_2016_01_21","BnaC06g42880D","chrC06",49,49,"AT3G61600.1","AT3G61600"," POZ/BTB containin G-protein 1 ","chrC06","C06_random",2409083,2411884,"GO:0005515","protein binding"
"2199",43,112,"lobe_number_2016_01_21","BnaC06g43580D","chrC06",84,84,NA,NA,NA,"chrC06","C06_random",3062603,3063488,NA,NA
"2200",43,112,"lobe_number_2016_01_21","BnaC06g43660D","chrC06",91,91,"AT1G70630.1","AT1G70630"," Nucleotide-diphospho-sugar transferase family protein ","chrC06","C06_random",3144407,3147186,"GO:0005783","endoplasmic reticulum"
"2201",43,112,"lobe_number_2016_01_21","BnaC06g43680D","chrC06",90,90,"AT1G70600.1","AT1G70600"," Ribosomal protein L18e/L15 superfamily protein ","chrC06","C06_random",3149781,3150434,"GO:0003735;GO:0005622;GO:0005840;GO:0006412","structural constituent of ribosome;intracellular;ribosome;translation"
"2202",43,112,"lobe_number_2016_01_21","BnaC06g43690D","chrC06",92,92,"AT1G70590.1","AT1G70590"," F-box family protein ","chrC06","C06_random",3150976,3152892,"GO:0005515","protein binding"
"2203",43,112,"lobe_number_2016_01_21","BnaC06g43710D","chrC06",82,82,"AT1G70580.1","AT1G70580"," alanine-2-oxoglutarate aminotransferase 2 ","chrC06","C06_random",3159376,3162268,"GO:0003824;GO:0009058;GO:0030170","catalytic activity;biosynthetic process;pyridoxal phosphate binding"
"2204",43,112,"lobe_number_2016_01_21","BnaC06g43740D","chrC06",85,85,"AT1G70940.1","AT1G70940"," Auxin efflux carrier family protein ","chrC06","C06_random",3182818,3185918,"GO:0016021;GO:0055085","integral component of membrane;transmembrane transport"
"2205",43,112,"lobe_number_2016_01_21","BnaC06g43820D","chrC06",99,99,"AT1G73010.1","AT1G73010"," phosphate starvation-induced gene 2 ","chrC06","C06_random",3247768,3249378,"GO:0008152;GO:0016791","metabolic process;phosphatase activity"
"2206",43,112,"lobe_number_2016_01_21","BnaC06g43830D","chrC06",97,97,"AT1G73020.1","AT1G73020"," unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF590 (InterPro:IPR007632); Has 1198 Blast hits to 1128 proteins in 154 species: Archae - 0; Bacteria - 0; Metazoa - 809; Fungi - 158; Plants - 25; Viruses - 0; Other Eukaryotes - 206 (source: NCBI BLink). ","chrC06","C06_random",3257300,3261105,NA,NA
"2207",43,112,"lobe_number_2016_01_21","BnaC06g43860D","chrC06",99,99,"AT1G73060.1","AT1G73060"," Low  PSII Accumulation 3 ","chrC06","C06_random",3265229,3267662,NA,NA
"2208",43,112,"lobe_number_2016_01_21","BnaC06g43880D","chrC06",105,105,"AT1G73100.1","AT1G73100"," SU(VAR)3-9 homolog 3 ","chrC06","C06_random",3270281,3273083,"GO:0005515;GO:0005634;GO:0008270;GO:0016571;GO:0018024;GO:0034968;GO:0042393","protein binding;nucleus;zinc ion binding;histone methylation;histone-lysine N-methyltransferase activity;histone lysine methylation;histone binding"
"2209",43,112,"lobe_number_2016_01_21","BnaC07g01240D","chrC06",66,66,"AT2G19830.1","AT2G19830"," SNF7 family protein ","chrC06","C07",1900032,1901119,"GO:0015031","protein transport"
"2210",43,112,"lobe_number_2016_01_21","BnaC07g06130D","chrC06",66,66,"AT2G17120.1","AT2G17120"," lysm domain GPI-anchored protein 2 precursor ","chrC06","C07",9946891,9949154,"GO:0016998","cell wall macromolecule catabolic process"
"2211",43,112,"lobe_number_2016_01_21","BnaC07g06640D","chrC06",69,69,"AT2G17760.1","AT2G17760"," Eukaryotic aspartyl protease family protein ","chrC06","C07",10847843,10851071,"GO:0004190;GO:0006508","aspartic-type endopeptidase activity;proteolysis"
"2212",43,112,"lobe_number_2016_01_21","BnaC07g25850D","chrC06",97,97,"AT3G29575.1","AT3G29575"," ABI five binding protein 3 ","chrC06","C07",31806275,31807664,NA,NA
"2213",43,112,"lobe_number_2016_01_21","BnaC07g30570D","chrC06",45,45,NA,NA,NA,"chrC06","C07",34982437,34985304,NA,NA
"2214",43,112,"lobe_number_2016_01_21","BnaC07g32730D","chrC06",84,84,"AT3G52160.1","AT3G52160"," 3-ketoacyl-CoA synthase 15 ","chrC06","C07",36223760,36225262,"GO:0003824;GO:0006633;GO:0008152;GO:0008610;GO:0016020","catalytic activity;fatty acid biosynthetic process;metabolic process;lipid biosynthetic process;membrane"
"2215",43,112,"lobe_number_2016_01_21","BnaC07g38650D","chrC06",84,84,"AT4G23990.1","AT4G23990"," cellulose synthase like G3 ","chrC06","C07",39919249,39925677,"GO:0016020;GO:0016760;GO:0030244","membrane;cellulose synthase (UDP-forming) activity;cellulose biosynthetic process"
"2216",43,112,"lobe_number_2016_01_21","BnaC07g40060D","chrC06",83,83,"AT4G26050.1","AT4G26050"," plant intracellular ras group-related LRR 8 ","chrC06","C07",40623400,40626155,"GO:0005515","protein binding"
"2217",43,112,"lobe_number_2016_01_21","BnaC07g42670D","chrC06",91,91,"AT4G30480.2","AT4G30480"," Tetratricopeptide repeat (TPR)-like superfamily protein ","chrC06","C07",42065700,42066880,"GO:0005515","protein binding"
"2218",43,112,"lobe_number_2016_01_21","BnaC07g45850D","chrC06",68,68,"AT4G35900.1","AT4G35900"," Basic-leucine zipper (bZIP) transcription factor family protein ","chrC06","C07",43707334,43708377,"GO:0003700;GO:0043565","transcription factor activity, sequence-specific DNA binding;sequence-specific DNA binding"
"2219",43,112,"lobe_number_2016_01_21","BnaC07g50420D","chrC06",85,85,"AT4G27650.1","AT4G27650"," Eukaryotic release factor 1 (eRF1) family protein ","chrC06","C07_random",2560807,2564272,NA,NA
"2220",43,112,"lobe_number_2016_01_21","BnaC08g02910D","chrC06",50,50,"AT1G49450.1","AT1G49450"," Transducin/WD40 repeat-like superfamily protein ","chrC06","C08",2376358,2377767,"GO:0005515","protein binding"
"2221",43,112,"lobe_number_2016_01_21","BnaC08g05950D","chrC06",68,68,"AT1G78300.1","AT1G78300"," general regulatory factor 2 ","chrC06","C08",8529082,8530257,"GO:0019904","protein domain specific binding"
"2222",43,112,"lobe_number_2016_01_21","BnaC08g09060D","chrC06",105,105,NA,NA,NA,"chrC06","C08",13652720,13653625,"GO:0003676;GO:0046983","nucleic acid binding;protein dimerization activity"
"2223",43,112,"lobe_number_2016_01_21","BnaC08g18750D","chrC06",86,86,"AT1G19330.3","AT1G19330"," unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G75060.1). ","chrC06","C08",21789804,21792258,"GO:0005515","protein binding"
"2224",43,112,"lobe_number_2016_01_21","BnaC08g25820D","chrC06",68,68,"AT3G54970.1","AT3G54970"," D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein ","chrC06","C08",27393679,27395472,"GO:0003824;GO:0008152","catalytic activity;metabolic process"
"2225",43,112,"lobe_number_2016_01_21","BnaC08g27760D","chrC06",83,83,NA,NA,NA,"chrC06","C08",28632484,28632726,NA,NA
"2226",43,112,"lobe_number_2016_01_21","BnaC08g28510D","chrC06",67,67,NA,NA,NA,"chrC06","C08",29109864,29111048,NA,NA
"2227",43,112,"lobe_number_2016_01_21","BnaC08g29390D","chrC06",50,50,"AT3G58690.1","AT3G58690"," Protein kinase superfamily protein ","chrC06","C08",29632908,29636317,"GO:0003677;GO:0004672;GO:0004674;GO:0004713;GO:0005524;GO:0006468;GO:0043565","DNA binding;protein kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity;ATP binding;protein phosphorylation;sequence-specific DNA binding"
"2228",43,112,"lobe_number_2016_01_21","BnaC08g47490D","chrC06",90,90,"AT1G31710.1","AT1G31710"," Copper amine oxidase family protein ","chrC06","C08_random",2333413,2334392,"GO:0005507;GO:0008131;GO:0009308;GO:0048038;GO:0055114","copper ion binding;primary amine oxidase activity;amine metabolic process;quinone binding;oxidation-reduction process"
"2229",43,112,"lobe_number_2016_01_21","BnaC09g05150D","chrC06",70,70,"AT5G61060.2","AT5G61060"," histone deacetylase 5 ","chrC06","C09",3025125,3029066,NA,NA
